ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0046,Operable,Piankeshaw,,,,,,,,,,,,,,,,,,,,Vincennes,IN,12-30-1805,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/pia0089.htm,
V0047,Operable,Cherokee,,,,,,,,,,,,,,,,,,,,Washington DC,DC,01-07-1806,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0090.htm,
V0048,Operable,Ottawa,Chippewa,Potawatomi,,,,,,,,,,,,,,,,,,Detroit,MI,11-17-1807,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/ott0092.htm,
V0049,Operable,Osage,,,,,,,,,,,,,,,,,,,,Fort Clark,LA,11-10-1808,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0095.htm,
V0050,Operable,Chippewa,Ottawa,Potawatomi,Wyandot,Shawnee,,,,,,,,,,,,,,,,Brownstone,MI,11-25-1808,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0099.htm,
V0051,Operable,Delaware,Potawatomi,Miami,Eel River,,,,,,,,,,,,,,,,,Fort Wayne,IN,09-30-1809,185,http://digital.library.okstate.edu/kappler/Vol2/treaties/del0101.htm,
V0052,Operable,Wea,,,,,,,,,,,,,,,,,,,,Vincennes,IN,10-26-1809,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/wea0103.htm,
V0053,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,Vincennes,IN,12-09-1809,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0104.htm,
V0054,Operable,Wyandot,Delaware,Miami,Shawnee,Seneca,,,,,,,,,,,,,,,,Greenville,OH,07-22-1814,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0105.htm,
V0055,Operable,Creek,,,,,,,,,,,,,,,,,,,,Fort Jackson,MS,08-09-1814,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0107.htm,
